Regulation,Ensembl ID,log2 Fold Change,Adj.Pval,Symbol,Chr,Type,NSIP_73,NSIP_117,NSIP_122,NSIP_173,NSIP_179,NSIP_187,NSIP_197,NSIP_203,NSIP_80,NSIP_63,NSIP_81,NSIP_82,NSIP_84,NSIP_93,CHP_115,CHP_118,CHP_137,CHP_198,CHP_69
Up,ENSG00000229807,8.84795255233919,1.3e-10,XIST,Xq13.2,lncRNA,5.11986566012083,4.76959895698501,14.1046077445162,14.4175755173907,13.8752369883466,14.6891839667372,14.5064707990421,13.5864088848971,3.43095580202561,6.90538696834647,13.8187309527418,13.2380729772903,12.9483623336956,3.99996210276719,5.45995320896512,3.02553785538067,3.25692109635143,5.83355133521698,4.03745756653679
Up,ENSG00000270641,6.78433116634042,0.00163,TSIX,Xq13.2,lncRNA,4.30461401648177,2.0,5.59523663159888,5.30988122555961,5.14829194447565,6.14498209482529,6.02849069426901,3.06742864668279,2.0,7.99117890047788,4.62384978060555,6.90177804314949,4.2914415637614,4.08088140910095,2.0,2.0,2.0,2.31153553045869,2.2420349737961
Up,ENSG00000224187,5.6116950750727,0.00771,LINC01991,3q27.3,lncRNA,2.64423241048815,4.63626470776878,2.0,2.91967150228589,4.35623209935946,2.70827847479553,2.0,4.24042497859804,4.43569724379289,4.24424870113517,5.02680940525745,3.68130130157578,3.16770737562586,6.10041259765002,2.0,2.27159735132948,2.0,2.0,2.0
Up,ENSG00000253314,5.32249482294915,0.0484,LINC00293,8q11.1,lncRNA,3.93150817621049,2.48678951327912,2.0,2.44007388495817,2.95340296373014,2.0,2.0,3.21090860830932,2.42142591237103,6.60655442629338,2.6743139638276,4.72645057230919,3.52095830797644,4.36560874689225,2.0,2.27159735132948,2.0,2.0,2.0
Up,ENSG00000283408,5.14897582138716,0.0242,MIR548A1HG,6p22.3,lncRNA,2.45971664333802,3.00238385668607,2.48121636789189,3.16887197449894,3.08659480420566,2.0,2.0,4.30582503878125,2.42142591237103,5.00154436515208,3.37233958645946,4.14113275547235,2.39136742908851,4.299520016016,2.0,2.0,2.0,2.0,2.0
Up,ENSG00000283646,4.01669541266546,0.0152,LINC02009,3p21.31,lncRNA,3.85873766114919,3.68134869351099,2.84144198263627,5.61296871099885,4.64247866114457,3.821878879644,8.68407591011374,3.85983742587693,5.34479519070607,6.22920642371148,3.918606090364,4.14113275547235,3.66968542607465,8.91053496931386,3.0002868980162,2.87071944409578,2.54920970231779,2.0,3.18815888694033
Up,ENSG00000268658,4.01521342405515,0.0097,LINC00664,19p12,lncRNA,4.60078536899563,4.58893340967436,2.48121636789189,7.2514947471286,4.18854412035606,4.69897307952901,6.10603307326717,9.1730962745973,6.11136752316743,6.76369423705938,7.6340147250421,5.10848644115052,3.16770737562586,9.61465957206016,3.87488640526332,3.40987918140086,3.25692109635143,4.34978251744533,3.29940724308959
Up,ENSG00000258476,3.6121762524795,0.00406,LINC02207,15q26.2,lncRNA,4.066884566457,5.35479468548297,3.91511574534017,4.9918871755148,6.21761656075348,3.53682874916745,5.76720345666598,8.02697079884153,4.79428797024006,7.41224540335243,4.87884351521479,5.65967469141264,3.66968542607465,9.40672712536396,2.4151809554186,2.69726755193135,3.25692109635143,3.14086987161803,3.5894070201563
Up,ENSG00000178803,3.41418272478775,0.0134,ADORA2A-AS1,22q11.23,lncRNA,3.52424344321276,4.85209999109154,2.48121636789189,4.89144417009256,5.02092970350034,4.49780591635663,4.46090538446508,4.54128120111941,3.23695315934768,5.16076599771063,3.75845282593583,3.92946031209653,3.16770737562586,5.18215836829206,2.0,2.0,2.0,2.31153553045869,3.29940724308959
Up,ENSG00000231327,3.37464739588861,0.0224,LINC01816,2p13.3,lncRNA,5.0562015988432,4.26680702870374,2.84144198263627,3.47683219747485,4.35623209935946,3.4277539382621,3.88883978309556,4.24042497859804,5.41530454971403,4.24424870113517,6.02619528244178,5.35473255362105,5.11020996930306,8.03082955584203,2.4151809554186,2.27159735132948,2.54920970231779,2.97387685696999,3.83075643930685
Up,ENSG00000230257,3.07696502101642,0.0408,NFE4,7q22.1,lncRNA,3.61541357848632,5.85243037708043,3.1294546816786,4.70673917419265,6.71609872316344,4.13111236959561,4.20304358151799,8.07465755803051,6.16691854912694,4.91481907225827,4.42478149490757,5.14166569683519,4.24477512966946,7.33842999014454,3.0002868980162,2.27159735132948,2.0,3.86841286390268,4.42863341292811
Up,ENSG00000269220,2.98001982424492,0.0158,LINC00528 ENSG00000269220,22q11.21,lncRNA,5.47668436130863,8.724449714292,4.79468649966508,7.39902833863159,8.19928084815497,6.75424543020099,7.06352337111821,7.87903637344185,7.72070837050622,6.36625166347039,7.00818991373173,6.23710632913375,6.01027382975995,10.667743487623,3.73736723541588,4.57808063685349,4.81202389669442,5.73253210220078,5.96465494828865
Up,ENSG00000258819,2.92594177305173,0.0189,LINC02289,14q24.3,lncRNA,4.35839301299687,5.58932990010141,5.54718361597963,4.1336954104063,5.23693854507397,4.60189296578986,4.86945094062197,6.54548498661612,6.32178612951299,5.37082796553429,6.65711029928335,5.58926675825993,4.58163478238373,8.72787040140334,3.73736723541588,3.71307110113529,2.54920970231779,2.78499274186215,4.69594708006552
Up,ENSG00000241163,2.76705324889875,0.00771,LINC00877,3p13,lncRNA,5.78232856784742,8.00017375355147,4.19007146746883,7.7869731485924,8.05637628866578,6.93450809544711,7.5532787038338,8.10712455438474,7.42851330192506,7.83462392426707,7.19968270798876,6.38298117298006,5.25851750980315,9.8406065877796,4.41550367958713,4.17678290251607,4.90419015383828,5.23817173755162,6.04667194827116
Up,ENSG00000215196,2.75708132824554,0.0202,BASP1-AS1,5p15.1,lncRNA,4.80825052442268,5.07458681614551,2.48121636789189,4.01139807624609,4.88122547601635,3.63823347071757,4.46090538446508,5.44111869896878,5.46046629958168,7.26224639182454,5.2837667435982,5.91127299363251,4.24477512966946,6.80730619686114,3.0002868980162,3.29278496364758,3.25692109635143,2.78499274186215,3.9029977848894
Up,ENSG00000228329,2.51782105179997,0.0414,LINC01890,2p13.3,lncRNA,4.00078368246965,4.26680702870374,2.84144198263627,3.04964569335544,5.02092970350034,3.04013649734454,3.88883978309556,4.54128120111941,4.86317242656837,4.50395390642124,4.06274385845751,3.68130130157578,3.26445362034477,5.95772448672102,2.73719511714325,2.69726755193135,2.54920970231779,3.14086987161803,2.63038590899679
Up,ENSG00000181577,2.47496440120506,0.03,C6orf223,6p21.1,lncRNA,4.24875243056907,7.56537797071429,3.1294546816786,7.04878731426047,6.69539072796447,4.44280373618422,3.48658491274927,4.48592093341244,6.89077125498129,6.26470739348931,5.64610844049956,5.43722025160535,5.21075581844157,6.47443770750234,3.58534501873232,4.03813923775246,4.49386223713394,3.7698897035029,3.5894070201563
Up,ENSG00000248323,2.40073860235705,0.0246,LUCAT1,5q14.3,lncRNA,7.83074918662677,11.6525760081843,8.28917823903573,11.3170532049703,11.881768659582,10.1001475408587,10.0302528187179,12.5728321283507,10.6936178798236,11.0470661397787,11.0512120196754,9.21411661207409,8.287803149292,12.3539445293641,7.53453993054571,8.64406765129835,9.30003179820533,7.6136656860811,9.36177190805975
Up,ENSG00000215244,1.88675154282238,0.0408,LINC02649,10p15.1,lncRNA,5.11986566012083,7.55309877966936,4.79468649966508,7.58739326506641,7.41835844296187,6.58676499139979,7.75932448291719,8.50884242639979,7.30396116274389,8.79789677634342,7.39618701829905,6.51545123952842,5.76778814123935,8.17141569071992,5.84183597207294,5.00771285110366,5.98414132608812,6.03789037472265,5.23302059007893
Up,ENSG00000250742,1.59794454722335,0.0408,LINC02381,12q13.13,lncRNA,5.18083865256231,3.92951109715736,5.02264510744639,5.48093763457212,4.59854343245308,4.55078794198575,5.32354915452893,4.69565405468881,4.68437198351807,5.71679177387389,4.37040539734243,5.29699829301702,5.53550864779024,3.38699191369574,3.73736723541588,3.71307110113529,3.5125483155277,4.12908197192705,3.18815888694033
Down,ENSG00000231566,-1.81074597488493,0.0414,LINC02595 ENSG00000231566,Xp11.3,lncRNA,2.95470196070524,3.26581518929046,3.91511574534017,3.65078423810094,4.59854343245308,4.95626153966632,4.67959170187267,4.36838851511077,3.82553299775459,4.50395390642124,4.06274385845751,4.43678604764411,4.50450353193681,4.08088140910095,7.26108632500769,4.24140867251656,5.07254187174393,5.47549624005266,4.65469454909641
